epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.5457,2.21644,13.9408,1.41458,0,0,0,0,2.53047,13.7801,1.48271,0.0002,0.0002,0.0002
2,44.1543,2.45222,11.9265,1.38152,0.00061,0.06061,0.00032,6e-05,3.07914,13.5005,1.1732,0.00037842,0.00037842,0.00037842
3,65.4426,2.28437,6.92467,1.32128,0.00182,0.18182,0.00119,0.00054,2.58772,13.1297,0.97923,0.00051328,0.00051328,0.00051328
4,86.4729,2.18418,6.75213,1.17745,0.00182,0.18182,0.00142,0.00062,2.536,13.0295,1.03013,0.00060458,0.00060458,0.00060458
5,107.926,2.45354,7.73593,1.15719,0.00182,0.18182,0.00144,0.00057,2.86287,13.4951,1.21189,0.00065232,0.00065232,0.00065232
6,129.613,2.19077,5.24193,1.18964,0.00182,0.18182,0.00146,0.0008,2.65187,11.6272,1.2851,0.0006565,0.0006565,0.0006565
7,151.218,2.13312,6.72889,1.20039,0.00212,0.21212,0.00185,0.00073,2.03701,9.64383,1.18929,0.00061712,0.00061712,0.00061712
8,172.261,2.08479,5.46928,1.09158,0.00182,0.18182,0.06663,0.0278,1.95022,9.70824,1.12336,0.00053418,0.00053418,0.00053418
9,192.903,2.27022,7.66876,1.07105,0.00182,0.18182,0.06663,0.0278,1.95022,9.70824,1.12336,0.00040768,0.00040768,0.00040768
10,212.613,1.98514,5.71493,1.03156,0.9833,0.09091,0.1066,0.04602,2.06376,8.9972,1.1113,0.000218,0.000218,0.000218
