frame,object_type,confidence,tracking_id,x1,y1,x2,y2,license_plate,mx1,my1,mx2,my2,license_plate_text
1.0,car,tensor([0.9011]),"tensor([1], dtype=torch.int32)",364,168,462,230,False,0,0,0,0,
1.0,car,tensor([0.8328]),"tensor([2], dtype=torch.int32)",304,169,374,220,False,0,0,0,0,
1.0,car,tensor([0.8269]),"tensor([3], dtype=torch.int32)",458,155,660,259,False,0,0,0,0,
1.0,car,tensor([0.7451]),"tensor([4], dtype=torch.int32)",133,162,162,188,False,0,0,0,0,
1.0,car,tensor([0.6802]),"tensor([5], dtype=torch.int32)",252,171,291,203,False,0,0,0,0,
1.0,car,tensor([0.6643]),"tensor([6], dtype=torch.int32)",225,167,263,197,False,0,0,0,0,
1.0,license plate,tensor([0.4493]),-1,429,209,452,215,True,429,209,452,215,not detected
1.0,license plate,tensor([0.1377]),-1,429,206,443,212,True,429,206,443,212,not detected
1.0,license plate,tensor([0.1208]),-1,617,222,652,233,True,617,222,652,233,not detected
2.0,car,tensor([0.9009]),"tensor([1], dtype=torch.int32)",364,168,462,230,False,0,0,0,0,
2.0,car,tensor([0.8378]),"tensor([2], dtype=torch.int32)",459,155,660,257,False,0,0,0,0,
2.0,car,tensor([0.8341]),"tensor([3], dtype=torch.int32)",303,169,375,220,False,0,0,0,0,
2.0,car,tensor([0.7432]),"tensor([4], dtype=torch.int32)",133,162,163,188,False,0,0,0,0,
2.0,car,tensor([0.6964]),"tensor([5], dtype=torch.int32)",252,171,291,203,False,0,0,0,0,
2.0,car,tensor([0.6623]),"tensor([6], dtype=torch.int32)",225,166,263,197,False,0,0,0,0,
2.0,license plate,tensor([0.4330]),-1,429,209,452,215,True,429,209,452,215,not detected
2.0,license plate,tensor([0.1342]),-1,429,206,443,211,True,429,206,443,211,7)!
2.0,license plate,tensor([0.1203]),-1,618,222,652,233,True,618,222,652,233,not detected
3.0,car,tensor([0.9016]),"tensor([1], dtype=torch.int32)",364,168,462,230,False,0,0,0,0,
3.0,car,tensor([0.8440]),"tensor([2], dtype=torch.int32)",459,155,660,257,False,0,0,0,0,
3.0,car,tensor([0.8279]),"tensor([3], dtype=torch.int32)",301,169,374,220,False,0,0,0,0,
3.0,car,tensor([0.7474]),"tensor([4], dtype=torch.int32)",133,162,162,188,False,0,0,0,0,
3.0,car,tensor([0.7024]),"tensor([5], dtype=torch.int32)",252,171,291,203,False,0,0,0,0,
3.0,car,tensor([0.6544]),"tensor([6], dtype=torch.int32)",225,167,263,197,False,0,0,0,0,
3.0,license plate,tensor([0.3985]),-1,429,209,452,214,True,429,209,452,214,ne
3.0,license plate,tensor([0.1307]),-1,429,206,443,211,True,429,206,443,211,7S
3.0,license plate,tensor([0.1209]),-1,618,222,652,233,True,618,222,652,233,not detected
4.0,car,tensor([0.9026]),"tensor([1], dtype=torch.int32)",364,168,462,230,False,0,0,0,0,
4.0,car,tensor([0.8436]),"tensor([2], dtype=torch.int32)",459,155,660,257,False,0,0,0,0,
4.0,car,tensor([0.8302]),"tensor([3], dtype=torch.int32)",301,169,374,219,False,0,0,0,0,
4.0,car,tensor([0.7491]),"tensor([4], dtype=torch.int32)",133,163,162,188,False,0,0,0,0,
4.0,car,tensor([0.7066]),"tensor([5], dtype=torch.int32)",252,171,291,203,False,0,0,0,0,
4.0,car,tensor([0.6547]),"tensor([6], dtype=torch.int32)",225,166,263,197,False,0,0,0,0,
4.0,license plate,tensor([0.4098]),-1,429,209,452,215,True,429,209,452,215,not detected
4.0,license plate,tensor([0.1317]),-1,429,206,443,211,True,429,206,443,211,not detected
4.0,license plate,tensor([0.1278]),-1,618,222,652,233,True,618,222,652,233,not detected
5.0,car,tensor([0.9027]),"tensor([1], dtype=torch.int32)",364,168,462,230,False,0,0,0,0,
5.0,car,tensor([0.8545]),"tensor([2], dtype=torch.int32)",459,155,660,257,False,0,0,0,0,
5.0,car,tensor([0.8312]),"tensor([3], dtype=torch.int32)",301,170,374,219,False,0,0,0,0,
5.0,car,tensor([0.7414]),"tensor([4], dtype=torch.int32)",133,162,162,188,False,0,0,0,0,
5.0,car,tensor([0.7125]),"tensor([5], dtype=torch.int32)",252,171,291,203,False,0,0,0,0,
5.0,car,tensor([0.6582]),"tensor([6], dtype=torch.int32)",225,166,264,197,False,0,0,0,0,
5.0,license plate,tensor([0.3879]),-1,429,209,452,215,True,429,209,452,215,not detected
5.0,license plate,tensor([0.1513]),-1,617,222,652,233,True,617,222,652,233,not detected
5.0,license plate,tensor([0.1263]),-1,429,206,443,211,True,429,206,443,211,not detected
6.0,car,tensor([0.9033]),"tensor([1], dtype=torch.int32)",364,168,462,230,False,0,0,0,0,
6.0,car,tensor([0.8580]),"tensor([2], dtype=torch.int32)",459,155,660,257,False,0,0,0,0,
6.0,car,tensor([0.8344]),"tensor([3], dtype=torch.int32)",301,170,374,219,False,0,0,0,0,
6.0,car,tensor([0.7442]),"tensor([4], dtype=torch.int32)",133,163,162,188,False,0,0,0,0,
6.0,car,tensor([0.7088]),"tensor([5], dtype=torch.int32)",252,170,291,203,False,0,0,0,0,
6.0,car,tensor([0.6622]),"tensor([6], dtype=torch.int32)",225,166,263,197,False,0,0,0,0,
